,D,I,L,R,U
AK,684387,98950,1000,483105,500
AL,1854546,1250,6000,6286579,3000
AR,1609713,3425,950,3501270,1000
AS,2200,0,0,0,0
AZ,4276102,18290,16911,10906022,6667
CA,100180271,179233,347269,57137869,15810
CO,8309752,123284,37545,8652876,2750
CT,15345587,18425,7150,14192606,7867
DC,188759226,206133,56836,74638016,3750
DE,1842215,950,3201,701019,500
FL,29766443,26976,69306,43250170,27728
GA,5153544,11450,30150,15325396,5166
GU,105950,0,0,16752,750
HI,4016676,2500,3650,1316718,1667
IA,2997776,5650,1050,3033981,2500
ID,582543,900,750,1646191,2000
IL,60672896,40235,28473,24201072,2700
IN,3028644,11450,15246,8459395,2500
KS,889088,1760,1500,4023656,1500
KY,6397937,5500,1000,5347901,0
LA,2202318,52200,6351,7670255,4300
MA,26003142,84810,16341,15466664,5916
MD,20439373,46075,18382,8877546,1000
ME,2601764,1950,500,1210283,0
MI,10131879,11250,13060,14881045,3217
MN,8117383,53755,4100,10952167,2250
MO,6269933,4600,7200,11733529,750
MS,611432,5088,2550,3612511,0
MT,2425285,1000,450,1993237,500
NC,5654527,11325,11137,7576516,2700
ND,676499,0,500,1309711,0
NE,2867807,-2150,1000,3166405,5250
NH,2872971,4550,14250,8932494,20025
NJ,14033312,8700,9951,10300676,183817
NM,3595041,13450,74900,3756401,0
NV,8629308,11950,12302,6925976,21867
NY,70535303,80233,37923,41829648,7684
OH,8749573,24184,39376,31162312,6299
OK,2068513,4320,4700,6890558,4622
OR,5502489,12825,10700,4494098,6600
PA,15507157,17883,14250,21038274,49337
PR,2115109,0,0,325355,0
RI,2412103,7225,0,1197739,500
SC,2625600,2300,1952,4960210,250
SD,661710,1100,0,2244026,250
TN,3260612,21107,13700,15795995,500
TX,26500655,17925,197181,85977703,117010
UT,1640109,2544,5102,10432712,500
VA,20284276,51415,19777,57574313,5523
VI,523200,0,0,191691,500
VT,2803948,125220,3050,295913,3000
WA,12504959,30950,28015,6370857,3500
WI,5022218,16864,2750,6426953,750
WV,1391960,3625,750,2850742,500
WY,536708,1750,250,1489326,2750
