"contributor_state","variable","V1","3","D","I","L","R","U"
"","amount",1591157,132506,115734589,215277,6053,122904011,2632
"99","amount",0,0,3000,0,0,442150,0
"AK","amount",376863,0,684387,98950,1000,483105,500
"AL","amount",2267738,0,1854546,1250,6000,6286579,3000
"AR","amount",1991600,0,1609713,3425,950,3501270,1000
"AS","amount",240,0,2200,0,0,0,0
"AZ","amount",2881680,550,4276102,18290,16911,10906022,6667
"CA","amount",36495612,14066,100180271,179233,347269,57137869,15810
"CO","amount",3762297,3507,8309752,123284,37545,8652876,2750
"CT","amount",5679109,10300,15345587,18425,7150,14192606,7867
"DC","amount",41788540,51141,188759226,206133,56836,74638016,3750
"DE","amount",836766,0,1842215,950,3201,701019,500
"FL","amount",14052062,38799,29766443,26976,69306,43250170,27728
"FM","amount",0,0,400,0,0,0,0
"GA","amount",5080981,425,5153544,11450,30150,15325396,5166
"GU","amount",213,0,105950,0,0,16752,750
"HI","amount",448791,0,4016676,2500,3650,1316718,1667
"IA","amount",1732473,300,2997776,5650,1050,3033981,2500
"ID","amount",1428646,645,582543,900,750,1646191,2000
"IL","amount",12727586,4799,60672896,40235,28473,24201072,2700
"IN","amount",3401685,720,3028644,11450,15246,8459395,2500
"KS","amount",1895739,700,889088,1760,1500,4023656,1500
"KY","amount",1368990,0,6397937,5500,1000,5347901,0
"LA","amount",3194883,2200,2202318,52200,6351,7670255,4300
"MA","amount",10724728,12225,26003142,84810,16341,15466664,5916
"MD","amount",5976471,35530,20439373,46075,18382,8877546,1000
"ME","amount",458729,0,2601764,1950,500,1210283,0
"MI","amount",4704259,4900,10131879,11250,13060,14881045,3217
"MN","amount",3570604,29541,8117383,53755,4100,10952167,2250
"MO","amount",3467097,1735,6269933,4600,7200,11733529,750
"MP","amount",600,0,0,0,0,0,0
"MS","amount",882702,4000,611432,5088,2550,3612511,0
"MT","amount",411845,780,2425285,1000,450,1993237,500
"NC","amount",3635005,9220,5654527,11325,11137,7576516,2700
"ND","amount",924292,0,676499,0,500,1309711,0
"NE","amount",1293762,0,2867807,-2150,1000,3166405,5250
"NH","amount",600986,250,2872971,4550,14250,8932494,20025
"NJ","amount",6724868,15321,14033312,8700,9951,10300676,183817
"NM","amount",946341,0,3595041,13450,74900,3756401,0
"NV","amount",12771412,430,8629308,11950,12302,6925976,21867
"NY","amount",38531355,154616,70535303,80233,37923,41829648,7684
"OH","amount",5552906,1048,8749573,24184,39376,31162312,6299
"OK","amount",3936842,3160,2068513,4320,4700,6890558,4622
"OR","amount",1550390,44969,5502489,12825,10700,4494098,6600
"PA","amount",8105529,30933,15507157,17883,14250,21038274,49337
"PR","amount",52744,0,2115109,0,0,325355,0
"RI","amount",439804,360,2412103,7225,0,1197739,500
"SC","amount",1362659,1215,2625600,2300,1952,4960210,250
"SD","amount",666348,465,661710,1100,0,2244026,250
"TN","amount",2699799,5377,3260612,21107,13700,15795995,500
"TX","amount",43380371,2430,26500655,17925,197181,85977703,117010
"UT","amount",4092702,5747,1640109,2544,5102,10432712,500
"VA","amount",9707682,26063,20284276,51415,19777,57574313,5523
"VI","amount",17100,0,523200,0,0,191691,500
"VT","amount",208235,1000,2803948,125220,3050,295913,3000
"WA","amount",3727350,8345,12504959,30950,28015,6370857,3500
"WI","amount",2547382,2215,5022218,16864,2750,6426953,750
"WV","amount",676329,300,1391960,3625,750,2850742,500
"WY","amount",1487036,115,536708,1750,250,1489326,2750
"ZZ","amount",91424,300,266382,-100,750,496611,0
